[2026-04-26 23:36:42,784][quality.model_adapters.onnx_adapter][INFO] - Loaded prefill model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_prefill.onnx
[2026-04-26 23:36:43,433][quality.model_adapters.onnx_adapter][INFO] - Loaded decode model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_decode.onnx
[2026-04-26 23:36:43,614][quality.model_adapters.onnx_adapter][INFO] - Loaded cp model from /Users/ruaoccj/qwen3_tts_bundle_new/code_predictor.onnx
[2026-04-26 23:36:44,082][quality.model_adapters.onnx_adapter][INFO] - Loaded vocoder model from /Users/ruaoccj/qwen3_tts_bundle_new/vocoder.onnx
[2026-04-26 23:37:28,606][quality.model_adapters.onnx_adapter][INFO] - Loaded prefill model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_prefill.onnx
[2026-04-26 23:37:29,056][quality.model_adapters.onnx_adapter][INFO] - Loaded decode model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_decode.onnx
[2026-04-26 23:37:29,227][quality.model_adapters.onnx_adapter][INFO] - Loaded cp model from /Users/ruaoccj/qwen3_tts_bundle_new/code_predictor.onnx
[2026-04-26 23:37:29,669][quality.model_adapters.onnx_adapter][INFO] - Loaded vocoder model from /Users/ruaoccj/qwen3_tts_bundle_new/vocoder.onnx
[2026-04-26 23:37:29,810][quality.model_adapters.onnx_adapter][INFO] - Loaded tokenizer from /Users/ruaoccj/qwen3_tts_bundle_new/tokenizer
[2026-04-26 23:37:30,116][quality.model_adapters.onnx_adapter][INFO] - Loaded assets from /Users/ruaoccj/qwen3_tts_bundle_new/embeddings
[2026-04-26 23:38:01,550][quality.model_adapters.onnx_adapter][INFO] - Loaded prefill model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_prefill.onnx
[2026-04-26 23:38:01,958][quality.model_adapters.onnx_adapter][INFO] - Loaded decode model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_decode.onnx
[2026-04-26 23:38:02,071][quality.model_adapters.onnx_adapter][INFO] - Loaded cp model from /Users/ruaoccj/qwen3_tts_bundle_new/code_predictor.onnx
[2026-04-26 23:38:02,333][quality.model_adapters.onnx_adapter][INFO] - Loaded vocoder model from /Users/ruaoccj/qwen3_tts_bundle_new/vocoder.onnx
[2026-04-26 23:38:02,442][quality.model_adapters.onnx_adapter][INFO] - Loaded tokenizer from /Users/ruaoccj/qwen3_tts_bundle_new/tokenizer
[2026-04-26 23:38:02,634][quality.model_adapters.onnx_adapter][INFO] - Loaded assets from /Users/ruaoccj/qwen3_tts_bundle_new/embeddings
[2026-04-26 23:41:01,531][quality.model_adapters.onnx_adapter][INFO] - Loaded prefill model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_prefill.onnx
[2026-04-26 23:41:01,901][quality.model_adapters.onnx_adapter][INFO] - Loaded decode model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_decode.onnx
[2026-04-26 23:41:02,015][quality.model_adapters.onnx_adapter][INFO] - Loaded cp model from /Users/ruaoccj/qwen3_tts_bundle_new/code_predictor.onnx
[2026-04-26 23:41:02,302][quality.model_adapters.onnx_adapter][INFO] - Loaded vocoder model from /Users/ruaoccj/qwen3_tts_bundle_new/vocoder.onnx
[2026-04-26 23:41:02,414][quality.model_adapters.onnx_adapter][INFO] - Loaded tokenizer from /Users/ruaoccj/qwen3_tts_bundle_new/tokenizer
[2026-04-26 23:41:02,697][quality.model_adapters.onnx_adapter][INFO] - Loaded assets from /Users/ruaoccj/qwen3_tts_bundle_new/embeddings
[2026-04-26 23:44:15,907][quality.model_adapters.onnx_adapter][INFO] - Loaded prefill model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_prefill.onnx
[2026-04-26 23:44:16,403][quality.model_adapters.onnx_adapter][INFO] - Loaded decode model from /Users/ruaoccj/qwen3_tts_bundle_new/talker_decode.onnx
[2026-04-26 23:44:16,526][quality.model_adapters.onnx_adapter][INFO] - Loaded cp model from /Users/ruaoccj/qwen3_tts_bundle_new/code_predictor.onnx
[2026-04-26 23:44:17,085][quality.model_adapters.onnx_adapter][INFO] - Loaded vocoder model from /Users/ruaoccj/qwen3_tts_bundle_new/vocoder.onnx
[2026-04-26 23:44:17,211][quality.model_adapters.onnx_adapter][INFO] - Loaded tokenizer from /Users/ruaoccj/qwen3_tts_bundle_new/tokenizer
[2026-04-26 23:44:17,384][quality.model_adapters.onnx_adapter][INFO] - Loaded assets from /Users/ruaoccj/qwen3_tts_bundle_new/embeddings
[2026-04-26 23:44:52,027][quality.model_adapters.onnx_adapter][INFO] - Prefill embedding built: inputs_embeds=(1, 9, 1024) trailing_text_hidden=(11, 1024)
[2026-04-26 23:44:52,028][quality.model_adapters.onnx_adapter][INFO] - Running talker_prefill
[2026-04-26 23:44:52,146][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 1/200
[2026-04-26 23:44:52,182][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 2/200
[2026-04-26 23:44:52,215][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 3/200
[2026-04-26 23:44:52,247][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 4/200
[2026-04-26 23:44:52,282][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 5/200
[2026-04-26 23:44:52,316][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 6/200
[2026-04-26 23:44:52,351][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 7/200
[2026-04-26 23:44:52,386][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 8/200
[2026-04-26 23:44:52,421][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 9/200
[2026-04-26 23:44:52,454][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 10/200
[2026-04-26 23:44:52,490][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 11/200
[2026-04-26 23:44:52,525][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 12/200
[2026-04-26 23:44:52,560][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 13/200
[2026-04-26 23:44:52,596][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 14/200
[2026-04-26 23:44:52,631][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 15/200
[2026-04-26 23:44:52,665][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 16/200
[2026-04-26 23:44:52,700][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 17/200
[2026-04-26 23:44:52,735][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 18/200
[2026-04-26 23:44:52,771][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 19/200
[2026-04-26 23:44:52,808][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 20/200
[2026-04-26 23:44:52,844][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 21/200
[2026-04-26 23:44:52,880][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 22/200
[2026-04-26 23:44:52,916][quality.model_adapters.onnx_adapter][INFO] - Running talker_decode step 23/200
